name,line_km
ULB_2012_BEWISE_GRN_BM3,38.48529497266142
ULB_2012_ICECON_GRN_BM3,288.4447429421593
UTIG_1991_CASERTZ_AIR_BM2,29808.04552012237
UTIG_1998_West-Marie-Byrd-Land_AIR_BM2,51534.00051425102
UTIG_1999_SOAR-LVS-WLK_AIR_BM2,152837.89738200157
UTIG_2000_Robb-Glacier_AIR_BM2,832.2557513557491
UTIG_2009_Darwin-Hatherton_AIR_BM3,698.5972199718468
UTIG_2010_ICECAP_AIR_BM3,201552.18361124923
UTIG_2013_GIMBLE_AIR_BM3,11562.400626045272
UTIG_2015_EAGLE_AIR_BM3,21958.623083374136
UTIG_2016_OLDICE_AIR_BM3,9142.624259238331
UWASHINGTON_2018_South-Pole-Lake_GRN_BM3,187.95916516155825
